state,municipality,cve_ent,cve_mun
Aguascalientes,Aguascalientes,01,001
Aguascalientes,Asientos,01,002
Aguascalientes,Calvillo,01,003
Aguascalientes,Cosío,01,004
Aguascalientes,Jesús María,01,005
Aguascalientes,Pabellón de Arteaga,01,006
Aguascalientes,Rincón de Romos,01,007
Aguascalientes,San José de Gracia,01,008
Aguascalientes,Tepezalá,01,009
Aguascalientes,El Llano,01,010
Aguascalientes,San Francisco de los Romo,01,011
Baja California,Ensenada,02,001
Baja California,Mexicali,02,002
Baja California,Tecate,02,003
Baja California,Tijuana,02,004
Baja California,Playas de Rosarito,02,005
Baja California,San Quintín,02,006
Baja California Sur,Comondú,03,001
Baja California Sur,Mulegé,03,002
Baja California Sur,La Paz,03,003
Baja California Sur,Los Cabos,03,008
Baja California Sur,Loreto,03,009
Campeche,Calkiní,04,001
Campeche,Campeche,04,002
Campeche,Carmen,04,003
Campeche,Champotón,04,004
Campeche,Hecelchakán,04,005
Campeche,Hopelchén,04,006
Campeche,Palizada,04,007
Campeche,Tenabo,04,008
Campeche,Escárcega,04,009
Campeche,Calakmul,04,010
Campeche,Candelaria,04,011
Campeche,Seybaplaya,04,012
Coahuila de Zaragoza,Abasolo,05,001
Coahuila de Zaragoza,Acuña,05,002
Coahuila de Zaragoza,Allende,05,003
Coahuila de Zaragoza,Arteaga,05,004
Coahuila de Zaragoza,Candela,05,005
Coahuila de Zaragoza,Castaños,05,006
Coahuila de Zaragoza,Cuatro Ciénegas,05,007
Coahuila de Zaragoza,Escobedo,05,008
Coahuila de Zaragoza,Francisco I. Madero,05,009
Coahuila de Zaragoza,Frontera,05,010
Coahuila de Zaragoza,General Cepeda,05,011
Coahuila de Zaragoza,Guerrero,05,012
Coahuila de Zaragoza,Hidalgo,05,013
Coahuila de Zaragoza,Jiménez,05,014
Coahuila de Zaragoza,Juárez,05,015
Coahuila de Zaragoza,Lamadrid,05,016
Coahuila de Zaragoza,Matamoros,05,017
Coahuila de Zaragoza,Monclova,05,018
Coahuila de Zaragoza,Morelos,05,019
Coahuila de Zaragoza,Múzquiz,05,020
Coahuila de Zaragoza,Nadadores,05,021
Coahuila de Zaragoza,Nava,05,022
Coahuila de Zaragoza,Ocampo,05,023
Coahuila de Zaragoza,Parras,05,024
Coahuila de Zaragoza,Piedras Negras,05,025
Coahuila de Zaragoza,Progreso,05,026
Coahuila de Zaragoza,Ramos Arizpe,05,027
Coahuila de Zaragoza,Sabinas,05,028
Coahuila de Zaragoza,Sacramento,05,029
Coahuila de Zaragoza,Saltillo,05,030
Coahuila de Zaragoza,San Buenaventura,05,031
Coahuila de Zaragoza,San Juan de Sabinas,05,032
Coahuila de Zaragoza,San Pedro,05,033
Coahuila de Zaragoza,Sierra Mojada,05,034
Coahuila de Zaragoza,Torreón,05,035
Coahuila de Zaragoza,Viesca,05,036
Coahuila de Zaragoza,Villa Unión,05,037
Coahuila de Zaragoza,Zaragoza,05,038
Colima,Armería,06,001
Colima,Colima,06,002
Colima,Comala,06,003
Colima,Coquimatlán,06,004
Colima,Cuauhtémoc,06,005
Colima,Ixtlahuacán,06,006
Colima,Manzanillo,06,007
Colima,Minatitlán,06,008
Colima,Tecomán,06,009
Colima,Villa de Álvarez,06,010
Chiapas,Acacoyagua,07,001
Chiapas,Acala,07,002
Chiapas,Acapetahua,07,003
Chiapas,Altamirano,07,004
Chiapas,Amatán,07,005
Chiapas,Amatenango de la Frontera,07,006
Chiapas,Amatenango del Valle,07,007
Chiapas,Angel Albino Corzo,07,008
Chiapas,Arriaga,07,009
Chiapas,Bejucal de Ocampo,07,010
Chiapas,Bella Vista,07,011
Chiapas,Berriozábal,07,012
Chiapas,Bochil,07,013
Chiapas,El Bosque,07,014
Chiapas,Cacahoatán,07,015
Chiapas,Catazajá,07,016
Chiapas,Cintalapa,07,017
Chiapas,Coapilla,07,018
Chiapas,Comitán de Domínguez,07,019
Chiapas,La Concordia,07,020
Chiapas,Copainalá,07,021
Chiapas,Chalchihuitán,07,022
Chiapas,Chamula,07,023
Chiapas,Chanal,07,024
Chiapas,Chapultenango,07,025
Chiapas,Chenalhó,07,026
Chiapas,Chiapa de Corzo,07,027
Chiapas,Chiapilla,07,028
Chiapas,Chicoasén,07,029
Chiapas,Chicomuselo,07,030
Chiapas,Chilón,07,031
Chiapas,Escuintla,07,032
Chiapas,Francisco León,07,033
Chiapas,Frontera Comalapa,07,034
Chiapas,Frontera Hidalgo,07,035
Chiapas,La Grandeza,07,036
Chiapas,Huehuetán,07,037
Chiapas,Huixtán,07,038
Chiapas,Huitiupán,07,039
Chiapas,Huixtla,07,040
Chiapas,La Independencia,07,041
Chiapas,Ixhuatán,07,042
Chiapas,Ixtacomitán,07,043
Chiapas,Ixtapa,07,044
Chiapas,Ixtapangajoya,07,045
Chiapas,Jiquipilas,07,046
Chiapas,Jitotol,07,047
Chiapas,Juárez,07,048
Chiapas,Larráinzar,07,049
Chiapas,La Libertad,07,050
Chiapas,Mapastepec,07,051
Chiapas,Las Margaritas,07,052
Chiapas,Mazapa de Madero,07,053
Chiapas,Mazatán,07,054
Chiapas,Metapa,07,055
Chiapas,Mitontic,07,056
Chiapas,Motozintla,07,057
Chiapas,Nicolás Ruíz,07,058
Chiapas,Ocosingo,07,059
Chiapas,Ocotepec,07,060
Chiapas,Ocozocoautla de Espinosa,07,061
Chiapas,Ostuacán,07,062
Chiapas,Osumacinta,07,063
Chiapas,Oxchuc,07,064
Chiapas,Palenque,07,065
Chiapas,Pantelhó,07,066
Chiapas,Pantepec,07,067
Chiapas,Pichucalco,07,068
Chiapas,Pijijiapan,07,069
Chiapas,El Porvenir,07,070
Chiapas,Villa Comaltitlán,07,071
Chiapas,Pueblo Nuevo Solistahuacán,07,072
Chiapas,Rayón,07,073
Chiapas,Reforma,07,074
Chiapas,Las Rosas,07,075
Chiapas,Sabanilla,07,076
Chiapas,Salto de Agua,07,077
Chiapas,San Cristóbal de las Casas,07,078
Chiapas,San Fernando,07,079
Chiapas,Siltepec,07,080
Chiapas,Simojovel,07,081
Chiapas,Sitalá,07,082
Chiapas,Socoltenango,07,083
Chiapas,Solosuchiapa,07,084
Chiapas,Soyaló,07,085
Chiapas,Suchiapa,07,086
Chiapas,Suchiate,07,087
Chiapas,Sunuapa,07,088
Chiapas,Tapachula,07,089
Chiapas,Tapalapa,07,090
Chiapas,Tapilula,07,091
Chiapas,Tecpatán,07,092
Chiapas,Tenejapa,07,093
Chiapas,Teopisca,07,094
Chiapas,Tila,07,096
Chiapas,Tonalá,07,097
Chiapas,Totolapa,07,098
Chiapas,La Trinitaria,07,099
Chiapas,Tumbalá,07,100
Chiapas,Tuxtla Gutiérrez,07,101
Chiapas,Tuxtla Chico,07,102
Chiapas,Tuzantán,07,103
Chiapas,Tzimol,07,104
Chiapas,Unión Juárez,07,105
Chiapas,Venustiano Carranza,07,106
Chiapas,Villa Corzo,07,107
Chiapas,Villaflores,07,108
Chiapas,Yajalón,07,109
Chiapas,San Lucas,07,110
Chiapas,Zinacantán,07,111
Chiapas,San Juan Cancuc,07,112
Chiapas,Aldama,07,113
Chiapas,Benemérito de las Américas,07,114
Chiapas,Maravilla Tenejapa,07,115
Chiapas,Marqués de Comillas,07,116
Chiapas,Montecristo de Guerrero,07,117
Chiapas,San Andrés Duraznal,07,118
Chiapas,Santiago el Pinar,07,119
Chiapas,Capitán Luis Ángel Vidal,07,120
Chiapas,Rincón Chamula San Pedro,07,121
Chiapas,El Parral,07,122
Chiapas,Emiliano Zapata,07,123
Chiapas,Mezcalapa,07,124
Chihuahua,Ahumada,08,001
Chihuahua,Aldama,08,002
Chihuahua,Allende,08,003
Chihuahua,Aquiles Serdán,08,004
Chihuahua,Ascensión,08,005
Chihuahua,Bachíniva,08,006
Chihuahua,Balleza,08,007
Chihuahua,Batopilas de Manuel Gómez Morín,08,008
Chihuahua,Bocoyna,08,009
Chihuahua,Buenaventura,08,010
Chihuahua,Camargo,08,011
Chihuahua,Carichí,08,012
Chihuahua,Casas Grandes,08,013
Chihuahua,Coronado,08,014
Chihuahua,Coyame del Sotol,08,015
Chihuahua,La Cruz,08,016
Chihuahua,Cuauhtémoc,08,017
Chihuahua,Cusihuiriachi,08,018
Chihuahua,Chihuahua,08,019
Chihuahua,Chínipas,08,020
Chihuahua,Delicias,08,021
Chihuahua,Dr. Belisario Domínguez,08,022
Chihuahua,Galeana,08,023
Chihuahua,Santa Isabel,08,024
Chihuahua,Gómez Farías,08,025
Chihuahua,Gran Morelos,08,026
Chihuahua,Guachochi,08,027
Chihuahua,Guadalupe,08,028
Chihuahua,Guadalupe y Calvo,08,029
Chihuahua,Guazapares,08,030
Chihuahua,Guerrero,08,031
Chihuahua,Hidalgo del Parral,08,032
Chihuahua,Huejotitán,08,033
Chihuahua,Ignacio Zaragoza,08,034
Chihuahua,Janos,08,035
Chihuahua,Jiménez,08,036
Chihuahua,Juárez,08,037
Chihuahua,Julimes,08,038
Chihuahua,López,08,039
Chihuahua,Madera,08,040
Chihuahua,Maguarichi,08,041
Chihuahua,Manuel Benavides,08,042
Chihuahua,Matachí,08,043
Chihuahua,Matamoros,08,044
Chihuahua,Meoqui,08,045
Chihuahua,Morelos,08,046
Chihuahua,Moris,08,047
Chihuahua,Namiquipa,08,048
Chihuahua,Nonoava,08,049
Chihuahua,Nuevo Casas Grandes,08,050
Chihuahua,Ocampo,08,051
Chihuahua,Ojinaga,08,052
Chihuahua,Praxedis G. Guerrero,08,053
Chihuahua,Riva Palacio,08,054
Chihuahua,Rosales,08,055
Chihuahua,Rosario,08,056
Chihuahua,San Francisco de Borja,08,057
Chihuahua,San Francisco de Conchos,08,058
Chihuahua,San Francisco del Oro,08,059
Chihuahua,Santa Bárbara,08,060
Chihuahua,Satevó,08,061
Chihuahua,Saucillo,08,062
Chihuahua,Temósachic,08,063
Chihuahua,El Tule,08,064
Chihuahua,Urique,08,065
Chihuahua,Uruachi,08,066
Chihuahua,Valle de Zaragoza,08,067
Ciudad de México,Azcapotzalco,09,002
Ciudad de México,Coyoacán,09,003
Ciudad de México,Cuajimalpa de Morelos,09,004
Ciudad de México,Gustavo A. Madero,09,005
Ciudad de México,Iztacalco,09,006
Ciudad de México,Iztapalapa,09,007
Ciudad de México,La Magdalena Contreras,09,008
Ciudad de México,Milpa Alta,09,009
Ciudad de México,Álvaro Obregón,09,010
Ciudad de México,Tláhuac,09,011
Ciudad de México,Tlalpan,09,012
Ciudad de México,Xochimilco,09,013
Ciudad de México,Benito Juárez,09,014
Ciudad de México,Cuauhtémoc,09,015
Ciudad de México,Miguel Hidalgo,09,016
Ciudad de México,Venustiano Carranza,09,017
Durango,Canatlán,10,001
Durango,Canelas,10,002
Durango,Coneto de Comonfort,10,003
Durango,Cuencamé,10,004
Durango,Durango,10,005
Durango,General Simón Bolívar,10,006
Durango,Gómez Palacio,10,007
Durango,Guadalupe Victoria,10,008
Durango,Guanaceví,10,009
Durango,Hidalgo,10,010
Durango,Indé,10,011
Durango,Lerdo,10,012
Durango,Mapimí,10,013
Durango,Mezquital,10,014
Durango,Nazas,10,015
Durango,Nombre de Dios,10,016
Durango,Ocampo,10,017
Durango,El Oro,10,018
Durango,Otáez,10,019
Durango,Pánuco de Coronado,10,020
Durango,Peñón Blanco,10,021
Durango,Poanas,10,022
Durango,Pueblo Nuevo,10,023
Durango,Rodeo,10,024
Durango,San Bernardo,10,025
Durango,San Dimas,10,026
Durango,San Juan de Guadalupe,10,027
Durango,San Juan del Río,10,028
Durango,San Luis del Cordero,10,029
Durango,San Pedro del Gallo,10,030
Durango,Santa Clara,10,031
Durango,Santiago Papasquiaro,10,032
Durango,Súchil,10,033
Durango,Tamazula,10,034
Durango,Tepehuanes,10,035
Durango,Tlahualilo,10,036
Durango,Topia,10,037
Durango,Vicente Guerrero,10,038
Durango,Nuevo Ideal,10,039
Guanajuato,Abasolo,11,001
Guanajuato,Acámbaro,11,002
Guanajuato,San Miguel de Allende,11,003
Guanajuato,Apaseo el Alto,11,004
Guanajuato,Apaseo el Grande,11,005
Guanajuato,Atarjea,11,006
Guanajuato,Celaya,11,007
Guanajuato,Manuel Doblado,11,008
Guanajuato,Comonfort,11,009
Guanajuato,Coroneo,11,010
Guanajuato,Cortazar,11,011
Guanajuato,Cuerámaro,11,012
Guanajuato,Doctor Mora,11,013
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,11,014
Guanajuato,Guanajuato,11,015
Guanajuato,Huanímaro,11,016
Guanajuato,Irapuato,11,017
Guanajuato,Jaral del Progreso,11,018
Guanajuato,Jerécuaro,11,019
Guanajuato,León,11,020
Guanajuato,Moroleón,11,021
Guanajuato,Ocampo,11,022
Guanajuato,Pénjamo,11,023
Guanajuato,Pueblo Nuevo,11,024
Guanajuato,Purísima del Rincón,11,025
Guanajuato,Romita,11,026
Guanajuato,Salamanca,11,027
Guanajuato,Salvatierra,11,028
Guanajuato,San Diego de la Unión,11,029
Guanajuato,San Felipe,11,030
Guanajuato,San Francisco del Rincón,11,031
Guanajuato,San José Iturbide,11,032
Guanajuato,San Luis de la Paz,11,033
Guanajuato,Santa Catarina,11,034
Guanajuato,Santa Cruz de Juventino Rosas,11,035
Guanajuato,Santiago Maravatío,11,036
Guanajuato,Silao de la Victoria,11,037
Guanajuato,Tarandacuao,11,038
Guanajuato,Tarimoro,11,039
Guanajuato,Tierra Blanca,11,040
Guanajuato,Uriangato,11,041
Guanajuato,Valle de Santiago,11,042
Guanajuato,Victoria,11,043
Guanajuato,Villagrán,11,044
Guanajuato,Xichú,11,045
Guanajuato,Yuriria,11,046
Guerrero,Acapulco de Juárez,12,001
Guerrero,Ahuacuotzingo,12,002
Guerrero,Ajuchitlán del Progreso,12,003
Guerrero,Alcozauca de Guerrero,12,004
Guerrero,Alpoyeca,12,005
Guerrero,Apaxtla,12,006
Guerrero,Arcelia,12,007
Guerrero,Atenango del Río,12,008
Guerrero,Atlamajalcingo del Monte,12,009
Guerrero,Atlixtac,12,010
Guerrero,Atoyac de Álvarez,12,011
Guerrero,Ayutla de los Libres,12,012
Guerrero,Azoyú,12,013
Guerrero,Benito Juárez,12,014
Guerrero,Buenavista de Cuéllar,12,015
Guerrero,Coahuayutla de José María Izazaga,12,016
Guerrero,Cocula,12,017
Guerrero,Copala,12,018
Guerrero,Copalillo,12,019
Guerrero,Copanatoyac,12,020
Guerrero,Coyuca de Benítez,12,021
Guerrero,Coyuca de Catalán,12,022
Guerrero,Cuajinicuilapa,12,023
Guerrero,Cualác,12,024
Guerrero,Cuautepec,12,025
Guerrero,Cuetzala del Progreso,12,026
Guerrero,Cutzamala de Pinzón,12,027
Guerrero,Chilapa de Álvarez,12,028
Guerrero,Chilpancingo de los Bravo,12,029
Guerrero,Florencio Villarreal,12,030
Guerrero,General Canuto A. Neri,12,031
Guerrero,General Heliodoro Castillo,12,032
Guerrero,Huamuxtitlán,12,033
Guerrero,Huitzuco de los Figueroa,12,034
Guerrero,Iguala de la Independencia,12,035
Guerrero,Igualapa,12,036
Guerrero,Ixcateopan de Cuauhtémoc,12,037
Guerrero,Zihuatanejo de Azueta,12,038
Guerrero,Juan R. Escudero,12,039
Guerrero,Leonardo Bravo,12,040
Guerrero,Malinaltepec,12,041
Guerrero,Mártir de Cuilapan,12,042
Guerrero,Metlatónoc,12,043
Guerrero,Mochitlán,12,044
Guerrero,Olinalá,12,045
Guerrero,Ometepec,12,046
Guerrero,Pedro Ascencio Alquisiras,12,047
Guerrero,Petatlán,12,048
Guerrero,Pilcaya,12,049
Guerrero,Pungarabato,12,050
Guerrero,Quechultenango,12,051
Guerrero,San Luis Acatlán,12,052
Guerrero,San Marcos,12,053
Guerrero,San Miguel Totolapan,12,054
Guerrero,Taxco de Alarcón,12,055
Guerrero,Tecoanapa,12,056
Guerrero,Técpan de Galeana,12,057
Guerrero,Teloloapan,12,058
Guerrero,Tepecoacuilco de Trujano,12,059
Guerrero,Tetipac,12,060
Guerrero,Tixtla de Guerrero,12,061
Guerrero,Tlacoachistlahuaca,12,062
Guerrero,Tlacoapa,12,063
Guerrero,Tlalchapa,12,064
Guerrero,Tlalixtaquilla de Maldonado,12,065
Guerrero,Tlapa de Comonfort,12,066
Guerrero,Tlapehuala,12,067
Guerrero,La Unión de Isidoro Montes de Oca,12,068
Guerrero,Xalpatláhuac,12,069
Guerrero,Xochihuehuetlán,12,070
Guerrero,Xochistlahuaca,12,071
Guerrero,Zapotitlán Tablas,12,072
Guerrero,Zirándaro,12,073
Guerrero,Zitlala,12,074
Guerrero,Eduardo Neri,12,075
Guerrero,Acatepec,12,076
Guerrero,Marquelia,12,077
Guerrero,Cochoapa el Grande,12,078
Guerrero,José Joaquín de Herrera,12,079
Guerrero,Juchitán,12,080
Guerrero,Iliatenco,12,081
Hidalgo,Acatlán,13,001
Hidalgo,Acaxochitlán,13,002
Hidalgo,Actopan,13,003
Hidalgo,Agua Blanca de Iturbide,13,004
Hidalgo,Ajacuba,13,005
Hidalgo,Alfajayucan,13,006
Hidalgo,Almoloya,13,007
Hidalgo,Apan,13,008
Hidalgo,El Arenal,13,009
Hidalgo,Atitalaquia,13,010
Hidalgo,Atlapexco,13,011
Hidalgo,Atotonilco el Grande,13,012
Hidalgo,Atotonilco de Tula,13,013
Hidalgo,Calnali,13,014
Hidalgo,Cardonal,13,015
Hidalgo,Cuautepec de Hinojosa,13,016
Hidalgo,Chapantongo,13,017
Hidalgo,Chapulhuacán,13,018
Hidalgo,Chilcuautla,13,019
Hidalgo,Eloxochitlán,13,020
Hidalgo,Emiliano Zapata,13,021
Hidalgo,Epazoyucan,13,022
Hidalgo,Francisco I. Madero,13,023
Hidalgo,Huasca de Ocampo,13,024
Hidalgo,Huautla,13,025
Hidalgo,Huazalingo,13,026
Hidalgo,Huehuetla,13,027
Hidalgo,Huejutla de Reyes,13,028
Hidalgo,Huichapan,13,029
Hidalgo,Ixmiquilpan,13,030
Hidalgo,Jacala de Ledezma,13,031
Hidalgo,Jaltocán,13,032
Hidalgo,Juárez Hidalgo,13,033
Hidalgo,Lolotla,13,034
Hidalgo,Metepec,13,035
Hidalgo,San Agustín Metzquititlán,13,036
Hidalgo,Metztitlán,13,037
Hidalgo,Mineral del Chico,13,038
Hidalgo,Mineral del Monte,13,039
Hidalgo,La Misión,13,040
Hidalgo,Mixquiahuala de Juárez,13,041
Hidalgo,Molango de Escamilla,13,042
Hidalgo,Nicolás Flores,13,043
Hidalgo,Nopala de Villagrán,13,044
Hidalgo,Omitlán de Juárez,13,045
Hidalgo,San Felipe Orizatlán,13,046
Hidalgo,Pacula,13,047
Hidalgo,Pachuca de Soto,13,048
Hidalgo,Pisaflores,13,049
Hidalgo,Progreso de Obregón,13,050
Hidalgo,Mineral de la Reforma,13,051
Hidalgo,San Agustín Tlaxiaca,13,052
Hidalgo,San Bartolo Tutotepec,13,053
Hidalgo,San Salvador,13,054
Hidalgo,Santiago de Anaya,13,055
Hidalgo,Santiago Tulantepec de Lugo Guerrero,13,056
Hidalgo,Singuilucan,13,057
Hidalgo,Tasquillo,13,058
Hidalgo,Tecozautla,13,059
Hidalgo,Tenango de Doria,13,060
Hidalgo,Tepeapulco,13,061
Hidalgo,Tepehuacán de Guerrero,13,062
Hidalgo,Tepeji del Río de Ocampo,13,063
Hidalgo,Tepetitlán,13,064
Hidalgo,Tetepango,13,065
Hidalgo,Villa de Tezontepec,13,066
Hidalgo,Tezontepec de Aldama,13,067
Hidalgo,Tianguistengo,13,068
Hidalgo,Tizayuca,13,069
Hidalgo,Tlahuelilpan,13,070
Hidalgo,Tlahuiltepa,13,071
Hidalgo,Tlanalapa,13,072
Hidalgo,Tlanchinol,13,073
Hidalgo,Tlaxcoapan,13,074
Hidalgo,Tolcayuca,13,075
Hidalgo,Tula de Allende,13,076
Hidalgo,Tulancingo de Bravo,13,077
Hidalgo,Xochiatipan,13,078
Hidalgo,Xochicoatlán,13,079
Hidalgo,Yahualica,13,080
Hidalgo,Zacualtipán de Ángeles,13,081
Hidalgo,Zapotlán de Juárez,13,082
Hidalgo,Zempoala,13,083
Hidalgo,Zimapán,13,084
Jalisco,Acatic,14,001
Jalisco,Acatlán de Juárez,14,002
Jalisco,Ahualulco de Mercado,14,003
Jalisco,Amacueca,14,004
Jalisco,Amatitán,14,005
Jalisco,Ameca,14,006
Jalisco,San Juanito de Escobedo,14,007
Jalisco,Arandas,14,008
Jalisco,El Arenal,14,009
Jalisco,Atemajac de Brizuela,14,010
Jalisco,Atengo,14,011
Jalisco,Atenguillo,14,012
Jalisco,Atotonilco el Alto,14,013
Jalisco,Atoyac,14,014
Jalisco,Autlán de Navarro,14,015
Jalisco,Ayotlán,14,016
Jalisco,Ayutla,14,017
Jalisco,La Barca,14,018
Jalisco,Bolaños,14,019
Jalisco,Cabo Corrientes,14,020
Jalisco,Casimiro Castillo,14,021
Jalisco,Cihuatlán,14,022
Jalisco,Zapotlán el Grande,14,023
Jalisco,Cocula,14,024
Jalisco,Colotlán,14,025
Jalisco,Concepción de Buenos Aires,14,026
Jalisco,Cuautitlán de García Barragán,14,027
Jalisco,Cuautla,14,028
Jalisco,Cuquío,14,029
Jalisco,Chapala,14,030
Jalisco,Chimaltitán,14,031
Jalisco,Chiquilistlán,14,032
Jalisco,Degollado,14,033
Jalisco,Ejutla,14,034
Jalisco,Encarnación de Díaz,14,035
Jalisco,Etzatlán,14,036
Jalisco,El Grullo,14,037
Jalisco,Guachinango,14,038
Jalisco,Guadalajara,14,039
Jalisco,Hostotipaquillo,14,040
Jalisco,Huejúcar,14,041
Jalisco,Huejuquilla el Alto,14,042
Jalisco,La Huerta,14,043
Jalisco,Ixtlahuacán de los Membrillos,14,044
Jalisco,Ixtlahuacán del Río,14,045
Jalisco,Jalostotitlán,14,046
Jalisco,Jamay,14,047
Jalisco,Jesús María,14,048
Jalisco,Jilotlán de los Dolores,14,049
Jalisco,Jocotepec,14,050
Jalisco,Juanacatlán,14,051
Jalisco,Juchitlán,14,052
Jalisco,Lagos de Moreno,14,053
Jalisco,El Limón,14,054
Jalisco,Magdalena,14,055
Jalisco,Santa María del Oro,14,056
Jalisco,La Manzanilla de la Paz,14,057
Jalisco,Mascota,14,058
Jalisco,Mazamitla,14,059
Jalisco,Mexticacán,14,060
Jalisco,Mezquitic,14,061
Jalisco,Mixtlán,14,062
Jalisco,Ocotlán,14,063
Jalisco,Ojuelos de Jalisco,14,064
Jalisco,Pihuamo,14,065
Jalisco,Poncitlán,14,066
Jalisco,Puerto Vallarta,14,067
Jalisco,Villa Purificación,14,068
Jalisco,Quitupan,14,069
Jalisco,El Salto,14,070
Jalisco,San Cristóbal de la Barranca,14,071
Jalisco,San Diego de Alejandría,14,072
Jalisco,San Juan de los Lagos,14,073
Jalisco,San Julián,14,074
Jalisco,San Marcos,14,075
Jalisco,San Martín de Bolaños,14,076
Jalisco,San Martín Hidalgo,14,077
Jalisco,San Miguel el Alto,14,078
Jalisco,Gómez Farías,14,079
Jalisco,San Sebastián del Oeste,14,080
Jalisco,Santa María de los Ángeles,14,081
Jalisco,Sayula,14,082
Jalisco,Tala,14,083
Jalisco,Talpa de Allende,14,084
Jalisco,Tamazula de Gordiano,14,085
Jalisco,Tapalpa,14,086
Jalisco,Tecalitlán,14,087
Jalisco,Tecolotlán,14,088
Jalisco,Techaluta de Montenegro,14,089
Jalisco,Tenamaxtlán,14,090
Jalisco,Teocaltiche,14,091
Jalisco,Teocuitatlán de Corona,14,092
Jalisco,Tepatitlán de Morelos,14,093
Jalisco,Tequila,14,094
Jalisco,Teuchitlán,14,095
Jalisco,Tizapán el Alto,14,096
Jalisco,Tlajomulco de Zúñiga,14,097
Jalisco,San Pedro Tlaquepaque,14,098
Jalisco,Tolimán,14,099
Jalisco,Tomatlán,14,100
Jalisco,Tonalá,14,101
Jalisco,Tonaya,14,102
Jalisco,Tonila,14,103
Jalisco,Totatiche,14,104
Jalisco,Tototlán,14,105
Jalisco,Tuxcacuesco,14,106
Jalisco,Tuxcueca,14,107
Jalisco,Tuxpan,14,108
Jalisco,Unión de San Antonio,14,109
Jalisco,Unión de Tula,14,110
Jalisco,Valle de Guadalupe,14,111
Jalisco,Valle de Juárez,14,112
Jalisco,San Gabriel,14,113
Jalisco,Villa Corona,14,114
Jalisco,Villa Guerrero,14,115
Jalisco,Villa Hidalgo,14,116
Jalisco,Cañadas de Obregón,14,117
Jalisco,Yahualica de González Gallo,14,118
Jalisco,Zacoalco de Torres,14,119
Jalisco,Zapopan,14,120
Jalisco,Zapotiltic,14,121
Jalisco,Zapotitlán de Vadillo,14,122
Jalisco,Zapotlán del Rey,14,123
Jalisco,Zapotlanejo,14,124
Jalisco,San Ignacio Cerro Gordo,14,125
Estado de México,Acambay de Ruíz Castañeda,15,001
Estado de México,Acolman,15,002
Estado de México,Aculco,15,003
Estado de México,Almoloya de Alquisiras,15,004
Estado de México,Almoloya de Juárez,15,005
Estado de México,Almoloya del Río,15,006
Estado de México,Amanalco,15,007
Estado de México,Amatepec,15,008
Estado de México,Amecameca,15,009
Estado de México,Apaxco,15,010
Estado de México,Atenco,15,011
Estado de México,Atizapán,15,012
Estado de México,Atizapán de Zaragoza,15,013
Estado de México,Atlacomulco,15,014
Estado de México,Atlautla,15,015
